genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group,type
Phka1,21.898548833225657,18.77177309035011,2.3282473623753472,8.062619717175837,7.467655327434892e-16,4.1584172094773154e-14,3,Significant
Eya1,490.00242642682576,-13.84882034955689,1.9107600175081247,-7.2478072717983295,4.2357273368981036e-13,1.4316758398715589e-11,4,Significant
Mpzl1,100.75447048457886,-23.890599963059287,3.3340944350520276,-7.1655438765898305,7.747833636513944e-13,2.455094783570356e-11,4,Significant
Stx11,83.67193613877274,19.691286018070134,2.6160647685327714,7.527063647248328,5.18940783983058e-14,2.0635527645443955e-12,4,Significant
Akap7,208.7817641929591,-26.149768798277126,2.1488377181753258,-12.169261818655187,4.531621017964623e-34,3.0633758081440855e-31,4,Significant
Prdm4,81.46668607046266,22.889491815020566,2.474930862259708,9.248537873951586,2.275844196982571e-20,2.307706015740327e-18,4,Significant
AU041133,68.29617003604841,-24.125624262079906,2.7653583663296644,-8.724230666024223,2.67996331786796e-18,1.9410591459415082e-16,4,Significant
Nek8,3.0371402900292894,-27.93221921661366,3.2133834621344355,-8.692463736668438,3.546630574782399e-18,2.4801954502271394e-16,4,Significant
Cnrip1,60.881188459500365,-27.314699419043,3.1866872897350653,-8.571502923122992,1.0214312435974216e-17,6.682137296824423e-16,4,Significant
Nlrp3,37.817624920613774,22.636374279102824,2.2184961801591174,10.203476788262613,1.9129916790108942e-24,2.771105089310067e-22,4,Significant
Pik3r5,117.3565228050164,23.642309010535325,2.6824374576709893,8.813741003699905,1.2103750319733633e-18,9.818562259367924e-17,4,Significant
Wfdc21,113.61985354607968,23.623668665922384,3.0535117053586482,7.73655742811298,1.0214485601426969e-14,4.603328177709754e-13,4,Significant
Mycn,103.82036657641888,-28.46153542477993,2.7434044760035,-10.374531234359486,3.2379759657756097e-25,5.0512425066099514e-23,4,Significant
Trmt5,22.149057352193648,-21.758020366108262,2.9829670086605007,-7.294086827959484,3.006914814500819e-13,1.0889327221085108e-11,4,Significant
Prxl2a,132.45814093241637,-27.47238470527612,2.6262195133929356,-10.460810516857086,1.3073252332890765e-25,2.6512555731102474e-23,4,Significant
Phf11b,87.73826733704907,-27.82677242881065,3.6655046412076153,-7.591525629508685,3.161606166645574e-14,1.335778605407755e-12,4,Significant
Htr2a,44.70880272102398,-29.99859873559588,3.424027342006257,-8.761203033506927,1.9317749981087837e-18,1.5067844985248513e-16,4,Significant
Mtrf1,129.4738886724494,20.43580321233289,2.3866876543538273,8.562412083983267,1.1053031978759895e-17,7.004859016539083e-16,4,Significant
Shank3,109.42585161904815,-30,2.618864431937989,-11.455346689251748,2.2107691138712314e-30,8.966879525861715e-28,4,Significant
Hic2,24.549120350427405,-22.19467108596614,3.0160100862801396,-7.358951214032713,1.8536075279556039e-13,7.092671823950877e-12,4,Significant
Xdh,86.21576898229377,20.361013352866735,2.6003827106935264,7.830006432951716,4.878450051308607e-15,2.3555944533461556e-13,4,Significant
Afdn,127.21635023396121,-7.90454595730115,1.0950329691899021,-7.218546089209423,5.254632854968174e-13,1.7469500704713865e-11,4,Significant
Zfp983,59.42364381146114,-24.420922402417364,2.858503180462338,-8.543255284560324,1.3049268631362275e-17,7.783504936589028e-16,4,Significant
Trim26,175.32187780872735,-21.911111164134475,2.6177672828465397,-8.370152422528752,5.754375209669825e-17,3.3342494072029728e-15,4,Significant
Gabbr1,35.47805286216892,-25.160475916026865,3.2075424356879894,-7.844159951271281,4.3586126599568654e-15,2.1559186522908592e-13,4,Significant
Trem1,102.3173426451508,23.91198772397049,2.994699728223963,7.984769724526517,1.4078486679798267e-15,7.320813073495099e-14,4,Significant
B430306N03Rik,3.8720335256486864,19.655514306647056,2.585461304754827,7.602323914304701,2.9085959720574714e-14,1.2550282194324579e-12,4,Significant
Galm,87.21458424068982,23.27902243016414,2.989842494111063,7.78603638018244,6.9144048273934565e-15,3.261026276733472e-13,4,Significant
Nrg2,1002.4697288574088,11.14483012577257,1.53088476939964,7.279992817580377,3.3383794956516765e-13,1.1877602837160702e-11,4,Significant
Gm4951,28.482118616909936,-30,3.498588902548914,-8.574885714107008,9.918523667260347e-18,6.682137296824423e-16,4,Significant
Pmaip1,59.01264303163577,22.579995377162867,3.107719166560471,7.2657773006412665,3.70899210558733e-13,1.2968682741605353e-11,4,Significant
Prkg1,2534.8384965694904,-9.2003098688806,1.2761139687093872,-7.209630248139546,5.610401074787667e-13,1.8351440934950628e-11,4,Significant
Dclre1a,134.95475747208354,24.05573281782937,2.40740565562112,9.992388595441302,1.6456758465015751e-23,2.2249537444701294e-21,4,Significant
Vps37c,133.86998933271278,22.612059048512087,2.5309233577854022,8.934312048191769,4.0971948781972944e-19,3.776868733174597e-17,4,Significant
Dusp5,148.6358543270213,-26.208969193596726,2.509090482116117,-10.445605441654939,1.534729524502989e-25,2.829483159720056e-23,4,Significant
Lcmt2,107.05462351221824,22.070322188259198,2.1165757108002445,10.427371945941282,1.859605230663708e-25,3.1427328398216664e-23,4,Significant
Nfatc2,63.638465949249834,-23.19474165174213,2.8644860608919425,-8.097348410388062,5.617003016054718e-16,2.9977058201470975e-14,4,Significant
Ankrd16,42.0717774470007,-20.782860406026064,2.747021823150532,-7.565597124448909,3.860869159602814e-14,1.5659685311349013e-12,4,Significant
Usp20,21.467528239255785,-22.106560323806544,2.6461924967019406,-8.354101355573665,6.593271662550899e-17,3.7142097032370064e-15,4,Significant
Zfp831,234.97080785752365,-27.194174373557694,2.4131881907396058,-11.268982037088078,1.8671607277042305e-29,6.311003259640299e-27,4,Significant
Snx16,98.36031901957334,-28.079700658332797,3.1764490331847535,-8.839965749483374,9.574795025732628e-19,8.090701796744071e-17,4,Significant
Gucy1a1,173.11327867839552,-28.519654316752096,2.654397782911717,-10.744303095923975,6.303616499486126e-27,1.5979667826197328e-24,4,Significant
Lmna,52.26865054603856,-25.158400993653135,2.7711214996938907,-9.078779474819937,1.097991500997447e-19,1.0603460781061059e-17,4,Significant
I830077J02Rik,105.56164390603189,23.310094283055,2.6670748921598815,8.739947405143074,2.332189767494456e-18,1.751733647584725e-16,4,Significant
Fpgt,59.67549554622255,-26.028570270029302,3.614338685518728,-7.201475161781551,5.956457862444578e-13,1.9174121500059687e-11,4,Significant
Pde5a,90.81866614281732,-25.164675743776563,2.6606071662209496,-9.458245494963373,3.1315334779741997e-21,3.3424999438587774e-19,4,Significant
Manea,111.13419959314376,20.03711195163034,2.576215630403314,7.777730914742363,7.383691324517647e-15,3.4032104559367704e-13,4,Significant
Tbc1d2,145.09282845968852,23.805262387948517,1.9477576137028654,12.221881316480923,2.3752349962330415e-34,2.408488286180304e-31,4,Significant
Bach2,801.3038583194757,-10.658368194765263,1.5057081817218498,-7.078641349067325,1.4557459410245916e-12,4.5419273359967254e-11,4,Significant
Junos,75.82380969960185,20.602904988193092,2.7730911407692713,7.42958090532781,1.0894229641526119e-13,4.248749560195186e-12,4,Significant
Hectd3,25.700471907085472,20.988781963512434,2.859478157799207,7.34007423916342,2.1347540946882832e-13,8.017187600051552e-12,4,Significant
Clnk,345.77494521278163,-26.13275248602487,2.1152458585570337,-12.354475192709732,4.60753143092318e-35,9.344073741912209e-32,4,Significant
Gm15581,85.12330541923484,23.186406475166333,2.609859630621191,8.884158444049183,6.440644256325841e-19,5.678968066012524e-17,4,Significant
Gimap8,156.26959841193406,-29.08813855186739,3.401647608391636,-8.55119104051487,1.218247917193913e-17,7.486687200209865e-16,4,Significant
Ccser1,646.5397506261957,-10.952293929345867,1.5106127372810652,-7.250232742680812,4.1605606873130665e-13,1.4301045887916776e-11,4,Significant
Efcc1,143.1772475244982,-29.999165052811968,2.797052681163235,-10.725277094293395,7.745457275399586e-27,1.7453097060567066e-24,4,Significant
Far2,294.24288451931443,22.100599958887923,2.6824871841596254,8.238846429311698,1.7387895267095175e-16,9.530446378829464e-15,4,Significant
Zfp507,141.6337135874936,20.36219063447601,2.640009314859624,7.7129237839673,1.2296752989935267e-14,5.421264144258418e-13,4,Significant
Hbb-bt,21.75017081915365,-29.60929187397875,4.050507293302336,-7.310020629499622,2.6710137497365616e-13,9.848756153574085e-12,4,Significant
Zfp790,93.05018447246712,22.220340940037712,2.295997944125824,9.677857507184251,3.7448119163026465e-22,4.7465491039136044e-20,4,Significant
Tead2,13.082706683112699,-24.05164082305822,2.042733656575789,-11.774242200216992,5.29911603380296e-32,2.6866518291381006e-29,4,Significant
Thsd1,181.21272240918245,-27.926536656854203,2.5521983032116373,-10.942149997401058,7.246084039653631e-28,2.099294061773938e-25,4,Significant
Fut10,110.99311665518339,-24.729063983907437,3.119950757360247,-7.926107143059656,2.261225134373114e-15,1.146441143127169e-13,4,Significant
Pkd1l3,16.944646266242973,-24.040457521535433,3.1740546488843133,-7.5740528065531905,3.617572547955576e-14,1.4972320667865118e-12,4,Significant
Rab4a,150.67275726831951,-24.950611259022352,2.5808605138617366,-9.6675551138906,4.1415366002818545e-22,4.940609544336236e-20,4,Significant
Pcsk7,170.0680402252657,22.750961132097313,2.380680440087932,9.556495172135321,1.2181210605622741e-21,1.3724163949001623e-19,4,Significant
